"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","tissue"
"GO:0001659","temperature homeostasis",0.157894736842105,0.0106063852581958,2.74620785882365e-06,0.00172461853534125,0.00125313800715795,"Avp/Oxt/Syk/Ucp2/Plac8/Mfap2",6,"Up","ARC"
"GO:0030099","myeloid cell differentiation",0.157894736842105,0.0265695307478037,0.00045750876434035,0.0520024657113693,0.0377859015854486,"Fes/Ucp2/Inpp5d/Hba-a1/Mfap2/Alas2",6,"Up","ARC"
"GO:0120162","positive regulation of cold-induced thermogenesis",0.131578947368421,0.00546389543604028,1.91889483813365e-06,0.00172461853534125,0.00125313800715795,"Oxt/Syk/Ucp2/Plac8/Mfap2",5,"Up","ARC"
"GO:0120161","regulation of cold-induced thermogenesis",0.131578947368421,0.0081422755517463,1.35393449762843e-05,0.00482077690063846,0.00350286085555946,"Oxt/Syk/Ucp2/Plac8/Mfap2",5,"Up","ARC"
"GO:0106106","cold-induced thermogenesis",0.131578947368421,0.00835654596100279,1.53527926771925e-05,0.00482077690063846,0.00350286085555946,"Oxt/Syk/Ucp2/Plac8/Mfap2",5,"Up","ARC"
"GO:1990845","adaptive thermogenesis",0.131578947368421,0.00937433040497107,2.67092192799418e-05,0.00670935588312138,0.00487513539278095,"Oxt/Syk/Ucp2/Plac8/Mfap2",5,"Up","ARC"
"GO:0046942","carboxylic acid transport",0.131578947368421,0.020891364902507,0.0011038851385241,0.0614216076979971,0.0446300149800231,"Avp/Oxt/Syk/Ucp2/Slc26a7",5,"Up","ARC"
"GO:0015849","organic acid transport",0.131578947368421,0.0209985001071352,0.00112929561174358,0.0614216076979971,0.0446300149800231,"Avp/Oxt/Syk/Ucp2/Slc26a7",5,"Up","ARC"
"GO:0015711","organic anion transport",0.131578947368421,0.0256588815084637,0.00271880577141181,0.0662813232939949,0.0481611693730251,"Avp/Oxt/Syk/Ucp2/Slc26a7",5,"Up","ARC"
"GO:0008217","regulation of blood pressure",0.105263157894737,0.0121598457253053,0.00113632337811975,0.0614216076979971,0.0446300149800231,"Avp/Oxt/Enpep/Hba-a1",4,"Up","ARC"
"GO:0042445","hormone metabolic process",0.105263157894737,0.0133919005785301,0.00162078134228405,0.0647284359350405,0.0470328142437815,"Cga/Clcn2/Hsd11b1/Slc26a7",4,"Up","ARC"
"GO:0072593","reactive oxygen species metabolic process",0.105263157894737,0.0138204413970431,0.00181855964622311,0.0647284359350405,0.0470328142437815,"Syk/Sod3/Ucp2/Hba-a1",4,"Up","ARC"
"GO:0050670","regulation of lymphocyte proliferation",0.105263157894737,0.0140882794086137,0.00195036007076436,0.0647284359350405,0.0470328142437815,"RT1-CE16/Syk/RT1-DMb/Inpp5d",4,"Up","ARC"
