"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.08,0.0203556888793658,0.0473684210526316,3.93010526315789,6.37389131785888,8.80999936081279e-07,0.00222716783841347,0.00214963984403832,"Agap3/Bag6/Cdc23/Cdc27/Csnk1d/Faf2/Kctd17/Klhdc2/Nedd4l/Plk2/Psma5/Psmb5/Psmc1/Psmc2/Rad23b/Spsb3/Ube2v2/Zfand2a",18,"green"
"GO:0007059","chromosome segregation",0.0711111111111111,0.0204092564816799,0.041994750656168,3.48425780110819,5.41128810875516,1.64312535127304e-05,0.0103845522200456,0.0100230646427656,"Bag6/Ccsap/Cdc23/Cdc27/Chmp1a/Chmp6/Ciao2b/Cit/Csnk1d/Dctn2/Ncaph2/Ripor2/Smarca5/Srpk1/Tubgcp2/Wrap73",16,"green"
"GO:0042176","regulation of protein catabolic process",0.0666666666666667,0.0194986072423398,0.0412087912087912,3.41904761904762,5.14795622742599,3.76667205309339e-05,0.0119026836877751,0.0114883497619348,"App/Bag6/Chmp6/Csnk1d/Lrig2/Marchf2/Nedd4l/Phb1/Pin1/Plk2/Psmc1/Psmc2/Rad23b/Ube2v2/Zfand2a",15,"green"
"GO:0000280","nuclear division",0.0666666666666667,0.0240518534390401,0.0334075723830735,2.77178916109874,4.19745146215788,0.000377113271439084,0.0476671175099003,0.0460078191155683,"Bag6/Ccsap/Cdc23/Cdk11b/Chmp1a/Chmp6/Cit/Dctn2/Ing2/Ncaph2/Psmd13/Ripor2/Sh2b1/Smarca5/Wrap73",15,"green"
"GO:0140014","mitotic nuclear division",0.0533333333333333,0.0144096850224984,0.0446096654275093,3.70121437422553,4.92890924973512,0.000108256692608708,0.0213962799554605,0.020651472741821,"Ccsap/Cdc23/Cdk11b/Chmp1a/Chmp6/Cit/Dctn2/Ncaph2/Ripor2/Sh2b1/Smarca5/Wrap73",12,"green"
"GO:0098813","nuclear chromosome segregation",0.0533333333333333,0.0155346046710949,0.0413793103448276,3.43319540229885,4.61253423070338,0.000217900006922742,0.0324030127941583,0.0312750598171465,"Bag6/Ccsap/Cdc23/Cdc27/Chmp1a/Chmp6/Cit/Dctn2/Ncaph2/Ripor2/Smarca5/Wrap73",12,"green"
"GO:0000819","sister chromatid segregation",0.0488888888888889,0.0103921148489394,0.0567010309278351,4.704421534937,5.72866643549625,2.43816628034629e-05,0.0112946300093466,0.0109014625090213,"Ccsap/Cdc23/Cdc27/Chmp1a/Chmp6/Cit/Dctn2/Ncaph2/Ripor2/Smarca5/Wrap73",11,"green"
"GO:0007051","spindle organization",0.0488888888888889,0.0104992500535676,0.0561224489795918,4.65641723356009,5.68381014157462,2.68068750221835e-05,0.0112946300093466,0.0109014625090213,"Ccsap/Chmp1a/Chmp6/Csnk1d/Dctn2/Pde4dip/Plk2/Rae1/Ripor2/Tubgcp2/Wrap73",11,"green"
"GO:1902115","regulation of organelle assembly",0.0488888888888889,0.0124812513391901,0.0472103004291846,3.91698617072008,4.94884098477499,0.000127598765707881,0.0230406914078231,0.0222386420233735,"Atg3/Ccsap/Cdkl5/Chmp1a/Chmp6/Kctd17/Pip4k2a/Plk2/Ripor2/Usp10/Wrap73",11,"green"
"GO:0000070","mitotic sister chromatid segregation",0.0444444444444444,0.00958860081422755,0.0558659217877095,4.63513345747983,5.39762742493881,6.48049243707268e-05,0.0182029832010219,0.0175693350516193,"Ccsap/Cdc23/Chmp1a/Chmp6/Cit/Dctn2/Ncaph2/Ripor2/Smarca5/Wrap73",10,"green"
"GO:0045732","positive regulation of protein catabolic process",0.0444444444444444,0.0107670880651382,0.0497512437810945,4.12780541735766,4.92438864589018,0.000168954290054691,0.0266947778286412,0.0257655292333404,"App/Bag6/Csnk1d/Marchf2/Nedd4l/Plk2/Psmc1/Psmc2/Ube2v2/Zfand2a",10,"green"
"GO:0033108","mitochondrial respiratory chain complex assembly",0.0355555555555556,0.00557103064066852,0.0769230769230769,6.38222222222222,6.07932350410837,3.75173936231195e-05,0.0119026836877751,0.0114883497619348,"Ndufa6/Ndufa9/Ndufaf3/Ndufb2/Ndufb6/Ndufs2/Ndufs8/Uqcc2",8,"green"
"GO:0007052","mitotic spindle organization",0.0355555555555556,0.00648167988000857,0.0661157024793388,5.4855463728191,5.46743891693524,0.000110028338378555,0.0213962799554605,0.020651472741821,"Ccsap/Chmp1a/Chmp6/Dctn2/Plk2/Rae1/Ripor2/Wrap73",8,"green"
"GO:0010257","NADH dehydrogenase complex assembly",0.0311111111111111,0.00332119134347547,0.112903225806452,9.36745519713262,7.28912623879762,9.42613344453795e-06,0.00794308844926398,0.00766658853489086,"Ndufa6/Ndufa9/Ndufaf3/Ndufb2/Ndufb6/Ndufs2/Ndufs8",7,"green"
"GO:0032981","mitochondrial respiratory chain complex I assembly",0.0311111111111111,0.00332119134347547,0.112903225806452,9.36745519713262,7.28912623879762,9.42613344453795e-06,0.00794308844926398,0.00766658853489086,"Ndufa6/Ndufa9/Ndufaf3/Ndufb2/Ndufb6/Ndufs2/Ndufs8",7,"green"
"GO:1901800","positive regulation of proteasomal protein catabolic process",0.0311111111111111,0.00573173344761089,0.0654205607476635,5.4278712357217,5.07339791479012,0.000316236030487483,0.0444135936151309,0.0428675507994144,"Bag6/Csnk1d/Plk2/Psmc1/Psmc2/Ube2v2/Zfand2a",7,"green"
